9/19/2013 20:10:06,NYU Stern/MBA,I have issued a few commands in a terminal based on given instructions ,I can write simple queries and issue them to a database ,I have written simple programs based on instructions or a tutorial 
9/19/2013 20:18:01,MBA Langone,I have issued a few commands in a terminal based on given instructions ,I can write simple queries and issue them to a database ,I have written simple programs based on instructions or a tutorial 
9/19/2013 20:36:07,Stern MBA,I have issued a few commands in a terminal based on given instructions ,I can write simple queries and issue them to a database ,I can write simple programs to accomplish tasks I encounter 
9/19/2013 21:07:22,NYU/Stern MBA,I have written simple terminal commands or done some system work on the terminal ,I can write very complex queries when needed ,I can write simple programs to accomplish tasks I encounter 
9/19/2013 21:29:19,NYU Stern Full-Time MBA,I have issued a few commands in a terminal based on given instructions ,I have never directly accessed a database ,I have never programmed before. 
9/19/2013 22:25:15,Stern/Finance+Stats,I have issued a few commands in a terminal based on given instructions ,I have never directly accessed a database ,I have written simple programs based on instructions or a tutorial 
9/19/2013 22:28:53,Stern MBA,I have written simple terminal commands or done some system work on the terminal ,I can write very complex queries when needed ,I can write complex programs am familiar with programming design patterns software testing system design and algorithms. 
9/19/2013 22:30:48,Stern/Finance+Stats,I have issued a few commands in a terminal based on given instructions ,I have never directly accessed a database ,I have written simple programs based on instructions or a tutorial 
9/19/2013 22:35:56,Langone/MBA,I have issued a few commands in a terminal based on given instructions ,I can write simple queries and issue them to a database ,I can write simple programs to accomplish tasks I encounter 
9/19/2013 23:13:14,Stern MBA,I don’t even understand the question,I have never directly accessed a database ,I have written simple programs based on instructions or a tutorial 
9/19/2013 23:19:38,MBA,I have issued a few commands in a terminal based on given instructions ,I have issued simple queries to a relational database based on given instructions ,I have written simple programs based on instructions or a tutorial 
9/19/2013 23:28:29,MBA,I have written simple terminal commands or done some system work on the terminal ,I can write simple queries and issue them to a database ,I can write simple programs to accomplish tasks I encounter 
9/19/2013 23:50:00,NYU MBA Langone,I have written simple terminal commands or done some system work on the terminal ,I can write very complex queries when needed ,I can write complex programs am familiar with programming design patterns software testing system design and algorithms. 
9/20/2013 2:27:03,NYU Stern Langone,I have issued a few commands in a terminal based on given instructions ,I have never directly accessed a database ,I have written simple programs based on instructions or a tutorial 
9/20/2013 8:25:13,Computer Engineering,I have issued a few commands in a terminal based on given instructions ,I can write very complex queries when needed ,I can write complex programs am familiar with programming design patterns software testing system design and algorithms. 
9/20/2013 9:13:49,MBA,I have no experience working in a terminal ,I have never directly accessed a database ,I can write simple programs to accomplish tasks I encounter 
9/20/2013 9:50:46,Business Management,I don’t even understand the question,I have never directly accessed a database ,I have written simple programs based on instructions or a tutorial 
9/20/2013 10:14:56,MBA Langone Program,I have written complex commands done or have done deep system work  ,I can write simple queries and issue them to a database ,I can write complex programs am familiar with programming design patterns software testing system design and algorithms. 
9/20/2013 11:44:06,Gallatin/Tech Business and Entrepreneurship,I have written simple terminal commands or done some system work on the terminal ,I have never directly accessed a database ,I have written simple programs based on instructions or a tutorial 
9/20/2013 11:52:29,Finance Information Systems,I have no experience working in a terminal ,I have never directly accessed a database ,I can write simple programs to accomplish tasks I encounter 
9/20/2013 11:56:50,Langone MBA,I have written complex commands done or have done deep system work  ,I can write very complex queries when needed ,I can write simple programs to accomplish tasks I encounter 
9/20/2013 12:22:09,Stern / Full-time MBA,I have written simple terminal commands or done some system work on the terminal ,I can write simple queries and issue them to a database ,I can write complex programs am familiar with programming design patterns software testing system design and algorithms. 
9/20/2013 12:35:30,Stern MBA FT,I have written simple terminal commands or done some system work on the terminal ,I can write very complex queries when needed ,I can write complex programs am familiar with programming design patterns software testing system design and algorithms. 
9/20/2013 12:45:04,MBA,I have issued a few commands in a terminal based on given instructions ,I have never directly accessed a database ,I have written simple programs based on instructions or a tutorial 
9/20/2013 13:55:59,Part-Time MBA,I have issued a few commands in a terminal based on given instructions ,I can write simple queries and issue them to a database ,I have written simple programs based on instructions or a tutorial 
9/20/2013 14:11:57,Stern MBA,I have issued a few commands in a terminal based on given instructions ,I have never directly accessed a database ,I have written simple programs based on instructions or a tutorial 
9/20/2013 16:05:39,Stern-Information Systems Major,I have issued a few commands in a terminal based on given instructions ,I can write simple queries and issue them to a database ,I can write simple programs to accomplish tasks I encounter 
9/20/2013 16:22:56,B Tech,I have written simple terminal commands or done some system work on the terminal ,I can write simple queries and issue them to a database ,I can write simple programs to accomplish tasks I encounter 
9/21/2013 2:48:55,Full-time MBA,I don’t even understand the question,I have never directly accessed a database ,I can write simple programs to accomplish tasks I encounter 
9/21/2013 8:33:13,Stern Langone MBA,I have written simple terminal commands or done some system work on the terminal ,I can write very complex queries when needed ,I can write simple programs to accomplish tasks I encounter 
9/21/2013 10:47:26,BA Organizational Psychology,I have written simple terminal commands or done some system work on the terminal ,I can write simple queries and issue them to a database ,I can write simple programs to accomplish tasks I encounter 
9/21/2013 15:50:45,MBA (Full-time),I have issued a few commands in a terminal based on given instructions ,I have issued simple queries to a relational database based on given instructions ,I have written simple programs based on instructions or a tutorial 
9/21/2013 18:21:15,NYU Stern / MBA,I have issued a few commands in a terminal based on given instructions ,I have issued simple queries to a relational database based on given instructions ,I have written simple programs based on instructions or a tutorial 
9/22/2013 12:39:32,NYU/MBA,I have no experience working in a terminal ,I have issued simple queries to a relational database based on given instructions ,I have never programmed before. 
9/22/2013 15:28:17,Stern/MBA,I have issued a few commands in a terminal based on given instructions ,I have issued simple queries to a relational database based on given instructions ,I have never programmed before. 
9/22/2013 18:49:07,Stern MBA 2014,I don’t even understand the question,I have never directly accessed a database ,I have never programmed before. 
9/23/2013 9:39:23,Langone MBA,I have issued a few commands in a terminal based on given instructions ,I have issued simple queries to a relational database based on given instructions ,I can write simple programs to accomplish tasks I encounter 
9/23/2013 12:54:31,NYU Stern,I have written simple terminal commands or done some system work on the terminal ,I can write simple queries and issue them to a database ,I have written simple programs based on instructions or a tutorial 
9/23/2013 18:05:31,Stern/MBA,I have written simple terminal commands or done some system work on the terminal ,I can write very complex queries when needed ,I can write simple programs to accomplish tasks I encounter 
9/23/2013 23:11:28,Information Sciences and Technology,I have written simple terminal commands or done some system work on the terminal ,I can write simple queries and issue them to a database ,I can write complex programs am familiar with programming design patterns software testing system design and algorithms. 
9/24/2013 1:40:25,Stern FT MBA,I don’t even understand the question,I have issued simple queries to a relational database based on given instructions ,I have never programmed before. 
9/24/2013 16:30:13,Stern MBA,I have written simple terminal commands or done some system work on the terminal ,I have never directly accessed a database ,I have written simple programs based on instructions or a tutorial 
9/24/2013 23:54:20,Stern/Full-Time MBA,I have no experience working in a terminal ,I can write simple queries and issue them to a database ,I have written simple programs based on instructions or a tutorial 
9/25/2013 18:13:29,Stern Undegraduate,I have written simple terminal commands or done some system work on the terminal ,I have never directly accessed a database ,I can write complex programs am familiar with programming design patterns software testing system design and algorithms. 
9/25/2013 19:47:56,Gallatin/Statistics and Marketing Research,I have issued a few commands in a terminal based on given instructions ,I have never directly accessed a database ,I have written simple programs based on instructions or a tutorial 
9/25/2013 19:59:37,Alum (Ph.D. Marketing),I have no experience working in a terminal ,I have never directly accessed a database ,I have never programmed before. 
9/25/2013 20:19:34,finance,I have written simple terminal commands or done some system work on the terminal ,I can write simple queries and issue them to a database ,I can write simple programs to accomplish tasks I encounter 
9/25/2013 20:20:04,Stern Full-time MBA,I have written simple terminal commands or done some system work on the terminal ,I have issued simple queries to a relational database based on given instructions ,I have written simple programs based on instructions or a tutorial 
9/28/2013 9:20:34,Finance,I have written simple terminal commands or done some system work on the terminal ,I can write simple queries and issue them to a database ,I can write simple programs to accomplish tasks I encounter 
9/28/2013 10:05:48,MSIS,I have issued a few commands in a terminal based on given instructions ,I can write simple queries and issue them to a database ,I have written simple programs based on instructions or a tutorial 
10/1/2013 10:13:16,Stern MBA,I have no experience working in a terminal ,I have issued simple queries to a relational database based on given instructions ,I have written simple programs based on instructions or a tutorial 
10/1/2013 21:32:07,Mechanical Engineering,I have issued a few commands in a terminal based on given instructions ,I have issued simple queries to a relational database based on given instructions ,I can write simple programs to accomplish tasks I encounter 
